name,,,,,
血虚津亏证,,,,,燥证
血虚生风,,,,,燥邪犯肺证
血虚生风证,,,,,疫毒痢
血轮虚热证,,,,,痰气互结证
表证,,,,,痰气交阻证
邪伏膜原证,,,,,痰气郁结证
里证,,,,,痰浊壅肺证
阳损及阴,,,,,痰浊蒙窍证
阳损及阴证,,,,,痰浊闭阻证
阳明,,,,,痰浊阻滞证
阳明经症,,,,,痰浊阻肺证
阳明经证,,,,,痰湿中阻证
阳明腑实,,,,,痰湿蕴肺证
阳明腑证,,,,,痰火扰心证
阳明证,,,,,痰火扰神证
阳虚外感证,,,,,痰热内扰证
阳虚寒凝证,,,,,痰热内闭证
阳虚水泛,,,,,痰热动风证
阳虚血瘀证,,,,,痰热壅肺证
阴损及阳,,,,,痰热腑实证
阴损及阳证,,,,,痰瘀互结证
阴竭阳脱,,,,,痰瘀痹阻证
阴竭阳脱证,,,,,痰瘀阻肺证
阴虚动血证,,,,,痰结血瘀证
阴虚动风,,,,,痰蒙神窍证
阴虚外感证,,,,,痰证
阴虚津亏证,,,,,痰阻心脉证
阴虚湿热证,,,,,痰饮内阻证
阴虚痢,,,,,瘀血内阻证
阴虚证,,,,,瘀血阻络证
阴虚阳亢证,,,,,瘀阻脑络证
阴虚阳浮,,,,,相火妄动证
阴虚阳浮证,,,,,真寒假热证
风寒化热证,,,,,真热假寒证
风湿化热证,,,,,精气亏虚证
风湿热痹,,,,,络气不和证
风病,,,,,肝气乘脾证
风痰证,,,,,肝气犯胃证
饮停胸胁证,,,,,肝气郁结证
饮留胃肠证,,,,,肝火上炎证
髓亏证,,,,,肝火旺盛证
,,,,,肝火炽盛证
,,,,,肝火犯肺证
,,,,,肝火痰热证
,,,,,肝经湿热证
,,,,,肝经热盛证
,,,,,肝肾阴虚证
,,,,,肝胃不和证
,,,,,肝胃郁热证
,,,,,肝胆湿热证
,,,,,肝脾血瘀证
,,,,,肝血虚证
,,,,,肝郁化火证
,,,,,肝郁气滞证
,,,,,肝郁血瘀证
,,,,,肝郁血虚证
,,,,,肝阳上亢证
,,,,,肝阳虚证
,,,,,肝阴虚证
,,,,,肝风内动证
,,,,,肠热腑实证
,,,,,肠燥津亏证
,,,,,肠道湿热证
,,,,,肺卫不固证
,,,,,肺气虚证
,,,,,肺气阴两虚证
,,,,,肺热津伤证
,,,,,肺热炽盛证
,,,,,肺肾气虚证
,,,,,肺肾阴虚证
,,,,,肺阴虚证
,,,,,肾不纳气证
,,,,,肾气不固证
,,,,,肾气虚证
,,,,,肾精不足证
,,,,,肾虚寒凝证
,,,,,肾虚水泛证
,,,,,肾虚火旺证
,,,,,肾虚证
