name
热证
饮证
半表半里证
胞宫寒凝证
胞宫虚寒证
表寒肺热证
表寒里饮证
表热兼里寒下迫大肠证
表证
病差水停腰下证
病后虚羸气逆证
病后余热未尽劳复证
产后败血上冲证
肠道湿热证
肠热腑实证
肠虚滑泻证
肠燥津亏证
冲任不固证
冲任寒证
冲任热证
冲任虚衰证
冲任瘀湿凝结证
冲任瘀阻证
虫毒湿热结肤证
虫毒袭肤证
虫积肠道证
大肠不固证
大肠结热证
大肠津亏证
大肠湿热证
大肠虚寒证
大结胸证
胆腑郁热证
胆气虚证
胆热证
胆郁痰扰证
毒壅上焦证
肺经郁热犯鼻证
肺脾两虚证
肺脾肾阳虚证
肺气衰绝证
肺气虚鼻塞证
肺气虚证
肺气阴两虚证
肺热肠结证
肺热炽盛证
肺热津伤证
肺热雍盛证
肺肾气虚证
肺肾阴虚证
肺卫不固证
肺阳虚证
肺阴虚证
肺郁水停证
风毒蕴肤证
风寒表证
风寒犯肺证
风寒化热证
风寒湿痹证
风寒袭喉证
风火热毒证
风轮风热证
风轮气虚邪恋（留）证
风轮热毒证
风轮湿热证
风轮阴虚证
风扰肺系证
风热表证
风热犯肺鼻息不利证
风热犯喉证
风热挟湿证
风热俱盛证
风热上扰证
风热痰毒证
风热外袭证
风热袭肺证
风热疫毒证
风热壅盛证
风热郁滞肌肤证
风热证
风湿犯表证
风湿化热证
风湿热痹证
风湿蕴肤证
风水犯肺证
风痰证
风痰阻络证
风邪犯表证
风邪热毒犯耳证
风阳内动证
风阳上扰证
风燥伤肺证
风证
肝胆湿热犯耳证
肝胆湿热证
肝风内动证
肝火炽盛证
肝火犯肺证
肝火犯胃证
肝火扰心证
肝火上炎证
肝火痰热证
肝火旺盛证
肝经热盛证
肝经湿热证
肝络失养证
肝脾不调证
肝脾血瘀证
肝气乘肺证
肝气乘脾证
肝气犯胃证
肝气郁结证
肝气郁结证
肝肾两虚证
肝肾阴虚合虚风内动证
肝肾阴虚证
肝胃不和证
肝胃郁热证
肝血虚证
肝血瘀滞证
